Product Name,Company Name,Location,Contact Number,Product Link
"Form: Powder Beta Amylase Enzyme, Packaging Size: 25Kg",Bioven Ingredients," Greater Noida Upsidc Industrial Area, K 232 Site 5, Kasna, Greater Noida - 201306, Dist.Gautam Budh Nagar, Uttar Pradesh",7942543192,https://www.indiamart.com/proddetail/beta-amylase-enzyme-2854446483688.html?pos=1&kwd=industrial&tags=BB||||8256.911|Price|product|||TS|attrMtch=1|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"Duct Air Cooler, Material: Plastic",Virty Enterprise," Vapi, Valsad 1st Floor Shop No -115 Saraswati Nagar Samarth Residency Vapi, Vapi, Valsad - 396191, Dist.Valsad, Gujarat",7942701364,https://www.bioveningredients.co.in/?pos=1&kwd=industrial&tags=BB||||8256.911|Price|product|||TS|attrMtch=1|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"Mild Steel Dref 2 Yarn Spinning Machine, For Industry",Joshi & Associates," Jodhpur, Ahmedabad B-102, Ashray Tower Anand Nagar Cross Road, Jodhpur, Ahmedabad - 380015, Dist.Ahmedabad, Gujarat",8046033686,https://www.indiamart.com/proddetail/duct-air-cooler-2853211133430.html?pos=2&kwd=industrial&tags=BA||||7578.741|Price|product|||TS|attrMtch=1|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
Industrial,Manisha Steel CentreIndiaMART Verified Exporter," Madhavbaug, Mumbai Ground Floor, Plot No. 162, T.P street ,Cooper Compound, Trimbak Parshuram Street 162, TP Street, 6th Kumbharwada, Gali No. 2, Coper Compound, Madhavbaug, Mumbai - 400004, Dist.Mumbai, Maharashtra",8046041615,https://www.virtyenterprise.com/?pos=2&kwd=industrial&tags=BA||||7578.741|Price|product|||TS|attrMtch=1|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"Industrial Architectural Consultancy Service, in Pan India",Bold Designers," Parvati, Pune BL.no. 4, F No 501,, Sahkar Nagar, laxminagar, Parvati, Pune - 411009, Dist.Pune, Maharashtra",8046059435,https://www.indiamart.com/proddetail/dref-2-yarn-spinning-machine-22442106197.html?pos=3&kwd=industrial&tags=A||||7613.566||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"Floor Mounted industrial Fan Coil Unit for chilled water, MS,SS",Omeel Coils," Pipodara, Surat Plot No. 18, 19 & 20, Near Kim Chokdi, Opposite Bhagyoday Hotel National Highway No. 08, Village Pipodara, Tal. Mangrol, Pipodara, Surat - 394110, Dist.Surat, Gujarat",8046073782,https://www.indiamart.com/joshiassociates/?pos=3&kwd=industrial&tags=A||||7613.566||product|||MDC|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"White Crystal Crystals Citric Acid Monohydrate, Packaging Type: Bag, Grade Standard: Industrial Grade",Virsen Aoxi Chem," Mulund West, Mumbai 506 Rose Blossom Yogi Hills, Mulund West, Mumbai - 400080, Dist.Mumbai, Maharashtra",8046031868,https://www.indiamart.com/proddetail/industrial-2853643951155.html?pos=4&kwd=industrial&tags=BB||||7533.29|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
Dynatech Sectional Warping Machine,Clartech Engineers Private Limited," Vatva, Ahmedabad Plot No. 413, V Road, Phase II GIDC Industrial Estate, Vatva, Ahmedabad - 382445, Dist.Ahmedabad, Gujarat",8048951285,https://www.indiamart.com/manishasteelcentre/?pos=4&kwd=industrial&tags=BB||||7533.29|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"Multicolor Jacquard Raj Patti, For Textile Industry, Size: Standard",L N Textile Traders," Udhana, Surat Shop NO-1, Plot NO.5132, Near Water Tank, Main Road GIDC, Sachin, Udhana, Surat - 395007, Dist.Surat, Gujarat",7942968639,https://www.indiamart.com/proddetail/industrial-architectural-consultancy-service-24038241630.html?pos=5&kwd=industrial&tags=BA||||7614.3447|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
Siemens Profinet Cable 6XV1840-2AH10,Nextgen Mro Source & Supply," Kundan Nagar, Jaipur Ground Floor 65/113 Pratap Nagar Sec 65 Rhb Sanganer Jaipur, Kundan Nagar, Jaipur - 302033, Dist.Jaipur, Rajasthan",7942792792,https://www.bolddesigner.in/?pos=5&kwd=industrial&tags=BA||||7614.3447|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
Living Room,Real TextilesIndiaMART Verified Exporter," Sengunthapuram, Karur SF No 408, Kamarajapuram West, Opp Sengunthapuram 11th Cross, Sengunthapuram, Karur - 639002, Dist.Karur, Tamil Nadu",7942967594,https://www.indiamart.com/proddetail/industrial-fan-coil-unit-for-chilled-water-23879959491.html?pos=6&kwd=industrial&tags=BB||||7584.552|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
"Bio Sil BIO-POL Emulsifier -VBD-204, For Industrial, Grade Standard: BP",Bio Sil Laboratories Co.," Okhla Industrial Estate, Kolkata Room No-30, Ground Floor, 34 Armenina Street, Okhla Industrial Estate, Kolkata - 700001, Dist.Kolkata, West Bengal",8046064742,https://www.omeelcoils.in/?pos=6&kwd=industrial&tags=BB||||7584.552|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
JEANS WASHING TOWEL,Denim Technomate," Narela, New Delhi Plot No.760e, Dsidc Industrial Area, Narela, North West, Narela, New Delhi - 110040, Dist.Delhi, Delhi",7942801742,https://www.indiamart.com/proddetail/citric-acid-monohydrate-19514870591.html?pos=7&kwd=industrial&tags=BB||||7533.29|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
Cast Iron Metal 28mm pipe fittings round tube connector Joker,Raj Pal Safety Tools," Mie B, Bahadurgarh Opposite Metro Pillar No -773 , Main Delhi Rohtak Road, Mie B, Bahadurgarh - 124507, Dist.Jhajjar, Haryana",8047699304,https://www.indiamart.com/virsenauxichem/?pos=7&kwd=industrial&tags=BB||||7533.29|Price|product|||TS|rsf:gd-|-stype:attr=1|qr_nm:gd|res:RC5|com-cf:nl|ptrs:na|ktp:N0|mtp:S|qry_typ:P|lang:en|wc:1|flavl:10|cs:8998|v=4
